country,days,package_type,price
Africa,1,unlimited,9.00
Africa,2,unlimited,17.00
Africa,3,unlimited,24.00
Africa,4,unlimited,27.00
Africa,5,unlimited,34.00
Africa,6,unlimited,37.00
Africa,7,unlimited,39.00
Africa,8,unlimited,42.00
Africa,9,unlimited,44.00
Africa,10,unlimited,49.00
Africa,11,unlimited,54.00
Africa,12,unlimited,59.00
Africa,13,unlimited,64.00
Africa,14,unlimited,69.00
Africa,15,unlimited,74.00
Africa,16,unlimited,79.00
Africa,17,unlimited,84.00
Africa,18,unlimited,89.00
Africa,19,unlimited,94.00
Africa,20,unlimited,99.00
Andorra,1,unlimited,6.00
Andorra,2,unlimited,9.00
Andorra,3,unlimited,12.00
Andorra,4,unlimited,15.00
Andorra,5,unlimited,19.00
Andorra,6,unlimited,23.00
Andorra,7,unlimited,27.00
Andorra,8,unlimited,29.00
Andorra,9,unlimited,32.00
Andorra,10,unlimited,34.00
Andorra,11,unlimited,37.00
Andorra,12,unlimited,40.00
Andorra,13,unlimited,42.00
Andorra,14,unlimited,44.00
Andorra,15,unlimited,47.00
Andorra,16,unlimited,49.00
Andorra,17,unlimited,50.00
Andorra,18,unlimited,52.00
Andorra,19,unlimited,55.00
Andorra,20,unlimited,57.00
Andorra,21,unlimited,59.00
Andorra,22,unlimited,60.00
Andorra,23,unlimited,61.00
Andorra,24,unlimited,62.00
Andorra,25,unlimited,63.00
Andorra,26,unlimited,64.00
Andorra,27,unlimited,65.00
Andorra,28,unlimited,66.00
Andorra,29,unlimited,67.00
Andorra,30,unlimited,69.00
Andorra,31,unlimited,70.00
Andorra,32,unlimited,71.00
Andorra,33,unlimited,72.00
Andorra,34,unlimited,73.00
Andorra,35,unlimited,74.00
Andorra,36,unlimited,75.00
Andorra,37,unlimited,76.00
Andorra,38,unlimited,77.00
Andorra,39,unlimited,78.00
Andorra,40,unlimited,79.00
Andorra,41,unlimited,80.00
Andorra,42,unlimited,81.00
Andorra,43,unlimited,82.00
Andorra,44,unlimited,83.00
Andorra,45,unlimited,84.00
Andorra,46,unlimited,85.00
Andorra,47,unlimited,86.00
Andorra,48,unlimited,87.00
Andorra,49,unlimited,88.00
Andorra,50,unlimited,89.00
Andorra,51,unlimited,90.00
Andorra,52,unlimited,91.00
Andorra,53,unlimited,92.00
Andorra,54,unlimited,93.00
Andorra,55,unlimited,94.00
Andorra,56,unlimited,95.00
Andorra,57,unlimited,96.00
Andorra,58,unlimited,97.00
Andorra,59,unlimited,98.00
Andorra,60,unlimited,99.00
Andorra,61,unlimited,100.00
Andorra,62,unlimited,101.00
Andorra,63,unlimited,102.00
Andorra,64,unlimited,103.00
Andorra,65,unlimited,104.00
Andorra,66,unlimited,105.00
Andorra,67,unlimited,106.00
Andorra,68,unlimited,107.00
Andorra,69,unlimited,108.00
Andorra,70,unlimited,109.00
Andorra,71,unlimited,110.00
Andorra,72,unlimited,111.00
Andorra,73,unlimited,112.00
Andorra,74,unlimited,113.00
Andorra,75,unlimited,114.00
Andorra,76,unlimited,115.00
Andorra,77,unlimited,116.00
Andorra,78,unlimited,117.00
Andorra,79,unlimited,118.00
Andorra,80,unlimited,119.00
Andorra,81,unlimited,120.00
Andorra,82,unlimited,121.00
Andorra,83,unlimited,122.00
Andorra,84,unlimited,123.00
Andorra,85,unlimited,124.00
Andorra,86,unlimited,125.00
Andorra,87,unlimited,126.00
Andorra,88,unlimited,127.00
Andorra,89,unlimited,128.00
Andorra,90,unlimited,129.00
Argentina,1,unlimited,9.00
Argentina,2,unlimited,12.00
Argentina,3,unlimited,19.00
Argentina,4,unlimited,24.00
Argentina,5,unlimited,27.00
Argentina,6,unlimited,29.00
Argentina,7,unlimited,34.00
Argentina,8,unlimited,35.00
Argentina,9,unlimited,36.00
Argentina,10,unlimited,37.00
Argentina,11,unlimited,39.00
Argentina,12,unlimited,41.00
Argentina,13,unlimited,43.00
Argentina,14,unlimited,45.00
Argentina,15,unlimited,47.00
Argentina,16,unlimited,49.00
Argentina,17,unlimited,50.00
Argentina,18,unlimited,52.00
Argentina,19,unlimited,55.00
Argentina,20,unlimited,57.00
Argentina,21,unlimited,59.00
Argentina,22,unlimited,60.00
Argentina,23,unlimited,61.00
Argentina,24,unlimited,62.00
Argentina,25,unlimited,63.00
Argentina,26,unlimited,64.00
Argentina,27,unlimited,65.00
Argentina,28,unlimited,79.00
Argentina,29,unlimited,81.00
Argentina,30,unlimited,83.00
Argentina,31,unlimited,85.00
Argentina,32,unlimited,87.00
Argentina,33,unlimited,89.00
Argentina,34,unlimited,91.00
Argentina,35,unlimited,93.00
Argentina,36,unlimited,95.00
Argentina,37,unlimited,97.00
Argentina,38,unlimited,99.00
Argentina,39,unlimited,101.00
Argentina,40,unlimited,103.00
Argentina,41,unlimited,105.00
Argentina,42,unlimited,107.00
Argentina,43,unlimited,109.00
Argentina,44,unlimited,111.00
Argentina,45,unlimited,113.00
Argentina,46,unlimited,115.00
Argentina,47,unlimited,117.00
Argentina,48,unlimited,119.00
Argentina,49,unlimited,121.00
Argentina,50,unlimited,123.00
Argentina,51,unlimited,125.00
Argentina,52,unlimited,127.00
Argentina,53,unlimited,129.00
Argentina,54,unlimited,131.00
Argentina,55,unlimited,133.00
Argentina,56,unlimited,135.00
Argentina,57,unlimited,137.00
Argentina,58,unlimited,139.00
Argentina,59,unlimited,141.00
Argentina,60,unlimited,143.00
Argentina,61,unlimited,145.00
Argentina,62,unlimited,147.00
Argentina,63,unlimited,149.00
Argentina,64,unlimited,151.00
Argentina,65,unlimited,153.00
Argentina,66,unlimited,155.00
Argentina,67,unlimited,157.00
Argentina,68,unlimited,159.00
Argentina,69,unlimited,161.00
Argentina,70,unlimited,163.00
Argentina,71,unlimited,165.00
Argentina,72,unlimited,167.00
Argentina,73,unlimited,169.00
Argentina,74,unlimited,171.00
Argentina,75,unlimited,173.00
Argentina,76,unlimited,175.00
Argentina,77,unlimited,177.00
Argentina,78,unlimited,179.00
Argentina,79,unlimited,181.00
Argentina,80,unlimited,183.00
Argentina,81,unlimited,185.00
Argentina,82,unlimited,187.00
Argentina,83,unlimited,189.00
Argentina,84,unlimited,191.00
Argentina,85,unlimited,193.00
Argentina,86,unlimited,195.00
Argentina,87,unlimited,197.00
Argentina,88,unlimited,199.00
Argentina,89,unlimited,201.00
Argentina,90,unlimited,203.00
Asia,1,unlimited,6.00
Asia,2,unlimited,12.00
Asia,3,unlimited,19.00
Asia,4,unlimited,24.00
Asia,5,unlimited,27.00
Asia,6,unlimited,29.00
Asia,7,unlimited,34.00
Asia,8,unlimited,35.00
Asia,9,unlimited,36.00
Asia,10,unlimited,37.00
Asia,11,unlimited,39.00
Asia,12,unlimited,41.00
Asia,13,unlimited,43.00
Asia,14,unlimited,45.00
Asia,15,unlimited,47.00
Asia,16,unlimited,49.00
Asia,17,unlimited,50.00
Asia,18,unlimited,52.00
Asia,19,unlimited,55.00
Asia,20,unlimited,57.00
Asia,21,unlimited,59.00
Asia,22,unlimited,60.00
Asia,23,unlimited,61.00
Asia,24,unlimited,62.00
Asia,25,unlimited,63.00
Asia,26,unlimited,64.00
Asia,27,unlimited,65.00
Asia,28,unlimited,79.00
Asia,29,unlimited,81.00
Asia,30,unlimited,83.00
Asia,31,unlimited,85.00
Asia,32,unlimited,87.00
Asia,33,unlimited,89.00
Asia,34,unlimited,91.00
Asia,35,unlimited,93.00
Asia,36,unlimited,95.00
Asia,37,unlimited,97.00
Asia,38,unlimited,99.00
Asia,39,unlimited,101.00
Asia,40,unlimited,103.00
Asia,41,unlimited,105.00
Asia,42,unlimited,107.00
Asia,43,unlimited,109.00
Asia,44,unlimited,111.00
Asia,45,unlimited,113.00
Asia,46,unlimited,115.00
Asia,47,unlimited,117.00
Asia,48,unlimited,119.00
Asia,49,unlimited,121.00
Asia,50,unlimited,123.00
Asia,51,unlimited,125.00
Asia,52,unlimited,127.00
Asia,53,unlimited,129.00
Asia,54,unlimited,131.00
Asia,55,unlimited,133.00
Asia,56,unlimited,135.00
Asia,57,unlimited,137.00
Asia,58,unlimited,139.00
Asia,59,unlimited,141.00
Asia,60,unlimited,143.00
Asia,61,unlimited,145.00
Asia,62,unlimited,147.00
Asia,63,unlimited,149.00
Asia,64,unlimited,151.00
Asia,65,unlimited,153.00
Asia,66,unlimited,155.00
Asia,67,unlimited,157.00
Asia,68,unlimited,159.00
Asia,69,unlimited,161.00
Asia,70,unlimited,163.00
Asia,71,unlimited,165.00
Asia,72,unlimited,167.00
Asia,73,unlimited,169.00
Asia,74,unlimited,171.00
Asia,75,unlimited,173.00
Asia,76,unlimited,175.00
Asia,77,unlimited,177.00
Asia,78,unlimited,179.00
Asia,79,unlimited,181.00
Asia,80,unlimited,183.00
Asia,81,unlimited,185.00
Asia,82,unlimited,187.00
Asia,83,unlimited,189.00
Asia,84,unlimited,191.00
Asia,85,unlimited,193.00
Asia,86,unlimited,195.00
Asia,87,unlimited,197.00
Asia,88,unlimited,199.00
Asia,89,unlimited,201.00
Asia,90,unlimited,203.00
Australia,1,unlimited,6.54
Australia,2,unlimited,9.81
Australia,3,unlimited,13.08
Australia,4,unlimited,16.35
Australia,5,unlimited,20.71
Australia,6,unlimited,25.07
Australia,7,unlimited,29.43
Australia,8,unlimited,31.61
Australia,9,unlimited,34.88
Australia,10,unlimited,37.06
Australia,11,unlimited,40.33
Australia,12,unlimited,43.60
Australia,13,unlimited,45.78
Australia,14,unlimited,47.96
Australia,15,unlimited,51.23
Australia,16,unlimited,53.41
Australia,17,unlimited,54.50
Australia,18,unlimited,56.68
Australia,19,unlimited,59.95
Australia,20,unlimited,62.13
Australia,21,unlimited,64.31
Australia,22,unlimited,65.40
Australia,23,unlimited,66.49
Australia,24,unlimited,67.58
Australia,25,unlimited,68.67
Australia,26,unlimited,69.76
Australia,27,unlimited,70.85
Australia,28,unlimited,71.94
Australia,29,unlimited,73.03
Australia,30,unlimited,75.21
Australia,31,unlimited,76.30
Australia,32,unlimited,77.39
Australia,33,unlimited,78.48
Australia,34,unlimited,79.57
Australia,35,unlimited,80.66
Australia,36,unlimited,81.75
Australia,37,unlimited,82.84
Australia,38,unlimited,83.93
Australia,39,unlimited,85.02
Australia,40,unlimited,86.11
Australia,41,unlimited,87.20
Australia,42,unlimited,88.29
Australia,43,unlimited,89.38
Australia,44,unlimited,90.47
Australia,45,unlimited,91.56
Australia,46,unlimited,92.65
Australia,47,unlimited,93.74
Australia,48,unlimited,94.83
Australia,49,unlimited,95.92
Australia,50,unlimited,97.01
Australia,51,unlimited,98.10
Australia,52,unlimited,99.19
Australia,53,unlimited,100.28
Australia,54,unlimited,101.37
Australia,55,unlimited,102.46
Australia,56,unlimited,103.55
Australia,57,unlimited,104.64
Australia,58,unlimited,105.73
Australia,59,unlimited,106.82
Australia,60,unlimited,107.91
Australia,61,unlimited,109.00
Australia,62,unlimited,110.09
Australia,63,unlimited,111.18
Australia,64,unlimited,112.27
Australia,65,unlimited,113.36
Australia,66,unlimited,114.45
Australia,67,unlimited,115.54
Australia,68,unlimited,116.63
Australia,69,unlimited,117.72
Australia,70,unlimited,118.81
Australia,71,unlimited,119.90
Australia,72,unlimited,120.99
Australia,73,unlimited,122.08
Australia,74,unlimited,123.17
Australia,75,unlimited,124.26
Australia,76,unlimited,125.35
Australia,77,unlimited,126.44
Australia,78,unlimited,127.53
Australia,79,unlimited,128.62
Australia,80,unlimited,129.71
Australia,81,unlimited,130.80
Australia,82,unlimited,131.89
Australia,83,unlimited,132.98
Australia,84,unlimited,134.07
Australia,85,unlimited,135.16
Australia,86,unlimited,136.25
Australia,87,unlimited,137.34
Australia,88,unlimited,138.43
Australia,89,unlimited,139.52
Australia,90,unlimited,140.61
Austria,1,unlimited,6.54
Austria,2,unlimited,9.81
Austria,3,unlimited,13.08
Austria,4,unlimited,16.35
Austria,5,unlimited,20.71
Austria,6,unlimited,25.07
Austria,7,unlimited,29.43
Austria,8,unlimited,31.61
Austria,9,unlimited,34.88
Austria,10,unlimited,37.06
Austria,11,unlimited,40.33
Austria,12,unlimited,43.60
Austria,13,unlimited,45.78
Austria,14,unlimited,47.96
Austria,15,unlimited,51.23
Austria,16,unlimited,53.41
Austria,17,unlimited,54.50
Austria,18,unlimited,56.68
Austria,19,unlimited,59.95
Austria,20,unlimited,62.13
Austria,21,unlimited,64.31
Austria,22,unlimited,65.40
Austria,23,unlimited,66.49
Austria,24,unlimited,67.58
Austria,25,unlimited,68.67
Austria,26,unlimited,69.76
Austria,27,unlimited,70.85
Austria,28,unlimited,71.94
Austria,29,unlimited,73.03
Austria,30,unlimited,75.21
Austria,31,unlimited,76.30
Austria,32,unlimited,77.39
Austria,33,unlimited,78.48
Austria,34,unlimited,79.57
Austria,35,unlimited,80.66
Austria,36,unlimited,81.75
Austria,37,unlimited,82.84
Austria,38,unlimited,83.93
Austria,39,unlimited,85.02
Austria,40,unlimited,86.11
Austria,41,unlimited,87.20
Austria,42,unlimited,88.29
Austria,43,unlimited,89.38
Austria,44,unlimited,90.47
Austria,45,unlimited,91.56
Austria,46,unlimited,92.65
Austria,47,unlimited,93.74
Austria,48,unlimited,94.83
Austria,49,unlimited,95.92
Austria,50,unlimited,97.01
Austria,51,unlimited,98.10
Austria,52,unlimited,99.19
Austria,53,unlimited,100.28
Austria,54,unlimited,101.37
Austria,55,unlimited,102.46
Austria,56,unlimited,103.55
Austria,57,unlimited,104.64
Austria,58,unlimited,105.73
Austria,59,unlimited,106.82
Austria,60,unlimited,107.91
Austria,61,unlimited,109.00
Austria,62,unlimited,110.09
Austria,63,unlimited,111.18
Austria,64,unlimited,112.27
Austria,65,unlimited,113.36
Austria,66,unlimited,114.45
Austria,67,unlimited,115.54
Austria,68,unlimited,116.63
Austria,69,unlimited,117.72
Austria,70,unlimited,118.81
Austria,71,unlimited,119.90
Austria,72,unlimited,120.99
Austria,73,unlimited,122.08
Austria,74,unlimited,123.17
Austria,75,unlimited,124.26
Austria,76,unlimited,125.35
Austria,77,unlimited,126.44
Austria,78,unlimited,127.53
Austria,79,unlimited,128.62
Austria,80,unlimited,129.71
Austria,81,unlimited,130.80
Austria,82,unlimited,131.89
Austria,83,unlimited,132.98
Austria,84,unlimited,134.07
Austria,85,unlimited,135.16
Austria,86,unlimited,136.25
Austria,87,unlimited,137.34
Austria,88,unlimited,138.43
Austria,89,unlimited,139.52
Austria,90,unlimited,140.61
Japan,1,unlimited,6.54
Japan,2,unlimited,9.81
Japan,3,unlimited,13.08
Japan,4,unlimited,16.35
Japan,5,unlimited,20.71
Japan,6,unlimited,25.07
Japan,7,unlimited,29.43
Japan,8,unlimited,31.61
Japan,9,unlimited,34.88
Japan,10,unlimited,37.06
Japan,11,unlimited,40.33
Japan,12,unlimited,43.60
Japan,13,unlimited,45.78
Japan,14,unlimited,47.96
Japan,15,unlimited,51.23
Japan,16,unlimited,53.41
Japan,17,unlimited,54.50
Japan,18,unlimited,56.68
Japan,19,unlimited,59.95
Japan,20,unlimited,62.13
Japan,21,unlimited,64.31
Japan,22,unlimited,65.40
Japan,23,unlimited,66.49
Japan,24,unlimited,67.58
Japan,25,unlimited,68.67
Japan,26,unlimited,69.76
Japan,27,unlimited,70.85
Japan,28,unlimited,71.94
Japan,29,unlimited,73.03
Japan,30,unlimited,75.21
Japan,31,unlimited,76.30
Japan,32,unlimited,77.39
Japan,33,unlimited,78.48
Japan,34,unlimited,79.57
Japan,35,unlimited,80.66
Japan,36,unlimited,81.75
Japan,37,unlimited,82.84
Japan,38,unlimited,83.93
Japan,39,unlimited,85.02
Japan,40,unlimited,86.11
Japan,41,unlimited,87.20
Japan,42,unlimited,88.29
Japan,43,unlimited,89.38
Japan,44,unlimited,90.47
Japan,45,unlimited,91.56
Japan,46,unlimited,92.65
Japan,47,unlimited,93.74
Japan,48,unlimited,94.83
Japan,49,unlimited,95.92
Japan,50,unlimited,97.01
Japan,51,unlimited,98.10
Japan,52,unlimited,99.19
Japan,53,unlimited,100.28
Japan,54,unlimited,101.37
Japan,55,unlimited,102.46
Japan,56,unlimited,103.55
Japan,57,unlimited,104.64
Japan,58,unlimited,105.73
Japan,59,unlimited,106.82
Japan,60,unlimited,107.91
Japan,61,unlimited,109.00
Japan,62,unlimited,110.09
Japan,63,unlimited,111.18
Japan,64,unlimited,112.27
Japan,65,unlimited,113.36
Japan,66,unlimited,114.45
Japan,67,unlimited,115.54
Japan,68,unlimited,116.63
Japan,69,unlimited,117.72
Japan,70,unlimited,118.81
Japan,71,unlimited,119.90
Japan,72,unlimited,120.99
Japan,73,unlimited,122.08
Japan,74,unlimited,123.17
Japan,75,unlimited,124.26
Japan,76,unlimited,125.35
Japan,77,unlimited,126.44
Japan,78,unlimited,127.53
Japan,79,unlimited,128.62
Japan,80,unlimited,129.71
Japan,81,unlimited,130.80
Japan,82,unlimited,131.89
Japan,83,unlimited,132.98
Japan,84,unlimited,134.07
Japan,85,unlimited,135.16
Japan,86,unlimited,136.25
Japan,87,unlimited,137.34
Japan,88,unlimited,138.43
Japan,89,unlimited,139.52
Japan,90,unlimited,140.61
China,1,unlimited,6.54
China,2,unlimited,9.81
China,3,unlimited,13.08
China,4,unlimited,16.35
China,5,unlimited,20.71
China,6,unlimited,25.07
China,7,unlimited,29.43
China,8,unlimited,31.61
China,9,unlimited,34.88
China,10,unlimited,37.06
China,11,unlimited,40.33
China,12,unlimited,43.60
China,13,unlimited,45.78
China,14,unlimited,47.96
China,15,unlimited,51.23
China,16,unlimited,53.41
China,17,unlimited,54.50
China,18,unlimited,56.68
China,19,unlimited,59.95
China,20,unlimited,62.13
China,21,unlimited,64.31
China,22,unlimited,65.40
China,23,unlimited,66.49
China,24,unlimited,67.58
China,25,unlimited,68.67
China,26,unlimited,69.76
China,27,unlimited,70.85
China,28,unlimited,71.94
China,29,unlimited,73.03
China,30,unlimited,75.21
China,31,unlimited,76.30
China,32,unlimited,77.39
China,33,unlimited,78.48
China,34,unlimited,79.57
China,35,unlimited,80.66
China,36,unlimited,81.75
China,37,unlimited,82.84
China,38,unlimited,83.93
China,39,unlimited,85.02
China,40,unlimited,86.11
China,41,unlimited,87.20
China,42,unlimited,88.29
China,43,unlimited,89.38
China,44,unlimited,90.47
China,45,unlimited,91.56
China,46,unlimited,92.65
China,47,unlimited,93.74
China,48,unlimited,94.83
China,49,unlimited,95.92
China,50,unlimited,97.01
China,51,unlimited,98.10
China,52,unlimited,99.19
China,53,unlimited,100.28
China,54,unlimited,101.37
China,55,unlimited,102.46
China,56,unlimited,103.55
China,57,unlimited,104.64
China,58,unlimited,105.73
China,59,unlimited,106.82
China,60,unlimited,107.91
China,61,unlimited,109.00
China,62,unlimited,110.09
China,63,unlimited,111.18
China,64,unlimited,112.27
China,65,unlimited,113.36
China,66,unlimited,114.45
China,67,unlimited,115.54
China,68,unlimited,116.63
China,69,unlimited,117.72
China,70,unlimited,118.81
China,71,unlimited,119.90
China,72,unlimited,120.99
China,73,unlimited,122.08
China,74,unlimited,123.17
China,75,unlimited,124.26
China,76,unlimited,125.35
China,77,unlimited,126.44
China,78,unlimited,127.53
China,79,unlimited,128.62
China,80,unlimited,129.71
China,81,unlimited,130.80
China,82,unlimited,131.89
China,83,unlimited,132.98
China,84,unlimited,134.07
China,85,unlimited,135.16
China,86,unlimited,136.25
China,87,unlimited,137.34
China,88,unlimited,138.43
China,89,unlimited,139.52
China,90,unlimited,140.61
Philippines,1,unlimited,6.54
Philippines,2,unlimited,9.81
Philippines,3,unlimited,13.08
Philippines,4,unlimited,16.35
Philippines,5,unlimited,20.71
Philippines,6,unlimited,25.07
Philippines,7,unlimited,29.43
Philippines,8,unlimited,31.61
Philippines,9,unlimited,34.88
Philippines,10,unlimited,37.06
Philippines,11,unlimited,40.33
Philippines,12,unlimited,43.60
Philippines,13,unlimited,45.78
Philippines,14,unlimited,47.96
Philippines,15,unlimited,51.23
Philippines,16,unlimited,53.41
Philippines,17,unlimited,54.50
Philippines,18,unlimited,56.68
Philippines,19,unlimited,59.95
Philippines,20,unlimited,62.13
Philippines,21,unlimited,64.31
Philippines,22,unlimited,65.40
Philippines,23,unlimited,66.49
Philippines,24,unlimited,67.58
Philippines,25,unlimited,68.67
Philippines,26,unlimited,69.76
Philippines,27,unlimited,70.85
Philippines,28,unlimited,71.94
Philippines,29,unlimited,73.03
Philippines,30,unlimited,75.21
Philippines,31,unlimited,76.30
Philippines,32,unlimited,77.39
Philippines,33,unlimited,78.48
Philippines,34,unlimited,79.57
Philippines,35,unlimited,80.66
Philippines,36,unlimited,81.75
Philippines,37,unlimited,82.84
Philippines,38,unlimited,83.93
Philippines,39,unlimited,85.02
Philippines,40,unlimited,86.11
Philippines,41,unlimited,87.20
Philippines,42,unlimited,88.29
Philippines,43,unlimited,89.38
Philippines,44,unlimited,90.47
Philippines,45,unlimited,91.56
Philippines,46,unlimited,92.65
Philippines,47,unlimited,93.74
Philippines,48,unlimited,94.83
Philippines,49,unlimited,95.92
Philippines,50,unlimited,97.01
Philippines,51,unlimited,98.10
Philippines,52,unlimited,99.19
Philippines,53,unlimited,100.28
Philippines,54,unlimited,101.37
Philippines,55,unlimited,102.46
Philippines,56,unlimited,103.55
Philippines,57,unlimited,104.64
Philippines,58,unlimited,105.73
Philippines,59,unlimited,106.82
Philippines,60,unlimited,107.91
Philippines,61,unlimited,109.00
Philippines,62,unlimited,110.09
Philippines,63,unlimited,111.18
Philippines,64,unlimited,112.27
Philippines,65,unlimited,113.36
Philippines,66,unlimited,114.45
Philippines,67,unlimited,115.54
Philippines,68,unlimited,116.63
Philippines,69,unlimited,117.72
Philippines,70,unlimited,118.81
Philippines,71,unlimited,119.90
Philippines,72,unlimited,120.99
Philippines,73,unlimited,122.08
Philippines,74,unlimited,123.17
Philippines,75,unlimited,124.26
Philippines,76,unlimited,125.35
Philippines,77,unlimited,126.44
Philippines,78,unlimited,127.53
Philippines,79,unlimited,128.62
Philippines,80,unlimited,129.71
Philippines,81,unlimited,130.80
